emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Abu Dhabi,50,1,6753000,132,2026-03-03T20:36:07.736648Z,2026-03-08T22:31:27.667289Z,89
Abu Dhabi,11,21,4010000,23,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,10
Abu Dhabi,23,2,2904000,22,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,12
Abu Dhabi,999,18,2101000,147,2026-03-03T20:36:07.736648Z,2026-03-08T20:08:13.145639Z,50
Abu Dhabi,11111,22,1901000,19,2026-03-04T02:22:13.634448Z,2026-03-08T16:33:19.534705Z,7
Abu Dhabi,777,22,1900000,34,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,18
Abu Dhabi,700,20,1454000,101,2026-03-03T20:36:07.736648Z,2026-03-08T18:48:35.672013Z,54
Abu Dhabi,100,16,1400000,19,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,13
Abu Dhabi,55555,22,1350000,80,2026-03-04T02:22:13.634448Z,2026-03-08T20:56:58.261330Z,56
Abu Dhabi,8888,11,1290000,130,2026-03-04T02:22:13.634448Z,2026-03-08T19:57:26.335660Z,68
Abu Dhabi,909,2,1156000,405,2026-03-03T20:36:07.736648Z,2026-03-08T21:25:29.114718Z,122
Abu Dhabi,522,22,1105000,8,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,6
Abu Dhabi,191,19,941000,210,2026-03-03T20:36:07.736648Z,2026-03-08T22:12:39.802409Z,98
Abu Dhabi,112,21,911000,131,2026-03-03T20:36:07.736648Z,2026-03-08T21:18:36.987825Z,81
Abu Dhabi,223,2,903000,10,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,3
Abu Dhabi,611,1,868000,15,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,7
Abu Dhabi,120,22,856000,46,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,14
Abu Dhabi,2222,21,853000,40,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,23
Abu Dhabi,70000,22,850000,20,2026-03-04T02:22:13.634448Z,2026-03-08T16:33:19.534705Z,5
Abu Dhabi,440,11,808000,74,2026-03-03T20:36:07.736648Z,2026-03-08T20:46:09.157114Z,44
Abu Dhabi,654,6,798000,120,2026-03-03T20:36:07.736648Z,2026-03-08T20:46:36.952171Z,63
Abu Dhabi,202,22,774000,9,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,3
Abu Dhabi,554,1,752000,8,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,4
Abu Dhabi,20000,22,695000,116,2026-03-04T02:22:13.634448Z,2026-03-08T18:52:20.233515Z,43
Abu Dhabi,301,20,692000,114,2026-03-03T20:36:07.736648Z,2026-03-08T20:30:28.110785Z,48
Abu Dhabi,110,13,668000,32,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,19
Abu Dhabi,5000,22,656000,133,2026-03-04T02:22:13.634448Z,2026-03-08T20:56:58.261330Z,55
Abu Dhabi,786,20,650000,15,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,13
Abu Dhabi,123,13,608000,20,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,10
Abu Dhabi,211,21,601000,23,2026-03-03T20:36:07.736648Z,2026-03-08T16:33:19.534705Z,15
