emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Ajman,89,H,102000,2,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,1
Ajman,31,K,102000,2,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,1
Ajman,31,K,102000,2,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,1
Ajman,89,H,100000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,332,K,13000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,525,K,13000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,655,K,13000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,992,K,13000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,332,K,13000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,525,K,13000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,655,K,13000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,992,K,13000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,810,K,12000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,810,K,12000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,301,H,11000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,301,H,11000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,129,H,10000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,231,H,10000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,987,K,10000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,129,H,10000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,231,H,10000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,987,K,10000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,38000,K,5000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,97000,K,5000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,38000,K,5000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,97000,K,5000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,34444,K,4000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,59999,H,4000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,88883,H,4000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
Ajman,34444,K,4000,0,2026-09-25T20:36:21.363852Z,2026-09-25T20:47:25.871111Z,0
