emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Ras Al Khaimah,3301,Z,20400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,83383,X,20000,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,8180,Y,19900,2025-12-23T20:41:24.173048Z,2026-01-17T06:30:29.141511Z,sold,2026-01-21T06:36:19.660785Z
Ras Al Khaimah,39339,I,19000,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,9089,Z,18900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,9809,S,18400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,3023,K,17900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,3310,K,17900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,3032,X,17900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,5851,S,17400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,1217,I,17400,2025-12-23T20:41:24.173048Z,2026-01-17T06:30:29.141511Z,sold,2026-01-21T06:36:19.660785Z
Ras Al Khaimah,1778,V,17400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,9906,Z,17400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,1156,N,16900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,7072,I,16900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,7606,I,16900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,8687,V,16900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,1677,Y,16900,2025-12-23T20:41:24.173048Z,2026-01-14T19:00:52.915072Z,sold,2026-01-17T06:30:29.141511Z
Ras Al Khaimah,5606,Y,16900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,4047,M,16400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,9924,C,15900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,5503,N,15900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,5532,S,15900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,3380,S,15900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,6133,S,15900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,4094,D,15900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,8799,I,15900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,2216,V,15900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,2280,Y,15900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,5085,Y,15900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,3412,I,15500,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,5184,I,15500,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,5410,M,13400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,1076,D,13400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,16777,Y,13400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,80040,M,13000,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,4203,C,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,67070,M,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,6107,N,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,35111,N,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,30038,S,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,2301,K,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
