emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Dubai,1551,U,180000,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:06:27.331408Z,0
Dubai,7011,S,60000,44,2026-04-03T16:44:54.132733Z,2026-04-03T18:38:49.302123Z,16
Dubai,1416,R,56900,57,2026-04-03T16:44:54.132733Z,2026-04-03T18:31:14.392934Z,8
Dubai,4746,I,50200,2,2026-04-03T16:44:54.132733Z,2026-04-03T18:25:46.778010Z,0
Dubai,1175,Q,49400,4,2026-04-03T16:44:54.132733Z,2026-04-03T17:33:47.243266Z,0
Dubai,1737,U,44400,3,2026-04-03T16:44:54.132733Z,2026-04-03T18:28:00.568187Z,0
Dubai,6267,G,42100,1,2026-04-03T16:44:54.132733Z,2026-04-03T18:09:35.223160Z,0
Dubai,4665,V,42000,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:28:00.568187Z,0
Dubai,9158,B,40000,20,2026-04-03T16:44:54.132733Z,2026-04-03T17:33:47.243266Z,0
Dubai,7817,N,39500,37,2026-04-03T16:44:54.132733Z,2026-04-03T18:47:27.586403Z,14
Dubai,8128,T,39100,23,2026-04-03T16:44:54.132733Z,2026-04-03T17:55:27.330341Z,9
Dubai,8398,M,39000,30,2026-04-03T16:44:54.132733Z,2026-04-03T18:47:27.586403Z,11
Dubai,6060,0,38000,46,2026-04-03T16:44:54.132733Z,2026-04-03T19:00:27.619375Z,18
Dubai,7131,V,38000,37,2026-04-03T16:44:54.132733Z,2026-04-03T18:38:49.302123Z,11
Dubai,8076,U,36400,3,2026-04-03T16:44:54.132733Z,2026-04-03T18:31:14.392934Z,0
Dubai,8076,Q,36300,3,2026-04-03T16:44:54.132733Z,2026-04-03T18:14:56.158737Z,0
Dubai,8696,G,36000,41,2026-04-03T16:44:54.132733Z,2026-04-03T18:25:46.778010Z,14
Dubai,91091,V,34200,2,2026-04-03T16:44:54.132733Z,2026-04-03T17:47:59.075983Z,0
Dubai,9379,M,33600,29,2026-04-03T16:44:54.132733Z,2026-04-03T18:38:49.302123Z,9
Dubai,59111,N,29600,23,2026-04-03T16:44:54.132733Z,2026-04-03T18:09:35.223160Z,10
Dubai,2307,C,29100,21,2026-04-03T16:44:54.132733Z,2026-04-03T17:55:27.330341Z,4
Dubai,1630,P,27900,27,2026-04-03T16:44:54.132733Z,2026-04-03T18:36:36.135015Z,9
Dubai,5403,U,27800,13,2026-04-03T16:44:54.132733Z,2026-04-03T18:04:13.878970Z,7
Dubai,416,1,27100,25,2026-04-03T16:44:54.132733Z,2026-04-03T18:14:56.158737Z,8
Dubai,6493,C,25200,16,2026-04-03T16:44:54.132733Z,2026-04-03T18:06:27.331408Z,9
Dubai,2501,V,24200,30,2026-04-03T16:44:54.132733Z,2026-04-03T18:47:27.586403Z,16
Dubai,58580,R,22500,77,2026-04-03T16:44:54.132733Z,2026-04-03T18:41:57.914578Z,16
Dubai,53636,G,18000,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:14:56.158737Z,0
Dubai,77118,M,18000,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:47:27.586403Z,0
Dubai,68811,K,14500,52,2026-04-03T16:44:54.132733Z,2026-04-03T18:41:57.914578Z,15
Dubai,93439,V,11600,5,2026-04-03T16:44:54.132733Z,2026-04-03T17:39:09.284267Z,1
Dubai,99577,Q,11000,53,2026-04-03T16:44:54.132733Z,2026-04-03T17:44:31.740761Z,8
Dubai,69686,L,9400,33,2026-04-03T16:44:54.132733Z,2026-04-03T18:33:27.059371Z,12
Dubai,76276,J,9300,42,2026-04-03T16:44:54.132733Z,2026-04-03T18:41:57.914578Z,19
Dubai,14024,C,7500,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:31:14.392934Z,0
Dubai,74072,W,6100,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:17:11.952675Z,0
Dubai,76078,C,6100,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:22:35.010989Z,0
Dubai,76074,G,6100,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:28:00.568187Z,0
Dubai,25124,O,6100,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:36:36.135015Z,0
Dubai,21192,O,5200,1,2026-04-03T16:44:54.132733Z,2026-04-03T17:42:34.393084Z,0
Dubai,49914,W,5100,0,2026-04-03T16:44:54.132733Z,2026-04-03T18:41:57.914578Z,0
Dubai,75174,D,4200,2,2026-04-03T16:44:54.132733Z,2026-04-03T17:44:31.740761Z,0
Dubai,60430,T,4200,1,2026-04-03T16:44:54.132733Z,2026-04-03T18:04:13.878970Z,0
