emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Fujairah,44,J,556000,68,2026-05-08T20:35:14.870980Z,2026-05-15T20:30:00.752352Z,29
Fujairah,30,L,432000,32,2026-05-08T20:35:14.870980Z,2026-05-15T19:08:35.801050Z,19
Fujairah,76,J,400000,2,2026-05-08T20:35:14.870980Z,2026-05-15T18:36:04.010446Z,1
Fujairah,99999,L,285500,81,2026-05-08T20:35:14.870980Z,2026-05-15T18:08:42.382122Z,20
Fujairah,222,L,275000,29,2026-05-08T20:35:14.870980Z,2026-05-15T18:46:56.719510Z,16
Fujairah,3333,L,210500,64,2026-05-08T20:35:14.870980Z,2026-05-15T19:13:59.665310Z,24
Fujairah,300,L,184000,45,2026-05-08T20:35:14.870980Z,2026-05-15T18:03:15.677395Z,23
Fujairah,808,L,135500,30,2026-05-08T20:35:14.870980Z,2026-05-15T20:08:59.468158Z,20
Fujairah,60000,L,110500,33,2026-05-08T20:35:14.870980Z,2026-05-15T19:19:22.639699Z,16
Fujairah,114,L,109500,36,2026-05-08T20:35:14.870980Z,2026-05-15T19:40:59.476127Z,24
Fujairah,160,L,104000,45,2026-05-08T20:35:14.870980Z,2026-05-15T17:52:15.427416Z,14
Fujairah,211,L,102000,14,2026-05-08T20:35:14.870980Z,2026-05-15T18:36:04.010446Z,6
Fujairah,8000,L,102000,16,2026-05-08T20:35:14.870980Z,2026-05-15T19:30:11.873138Z,13
Fujairah,151,J,100500,16,2026-05-08T20:35:14.870980Z,2026-05-15T18:57:46.196732Z,8
Fujairah,440,L,100500,9,2026-05-08T20:35:14.870980Z,2026-05-15T18:36:04.010446Z,5
Fujairah,717,L,100500,12,2026-05-08T20:35:14.870980Z,2026-05-15T18:30:29.942226Z,4
Fujairah,993,I,91500,31,2026-05-08T20:35:14.870980Z,2026-05-15T18:36:04.010446Z,15
Fujairah,543,H,85000,47,2026-05-08T20:35:14.870980Z,2026-05-15T18:52:21.658129Z,27
Fujairah,693,M,76000,28,2026-05-08T20:35:14.870980Z,2026-05-15T18:57:46.196732Z,25
Fujairah,55000,L,56000,32,2026-05-08T20:35:14.870980Z,2026-05-15T19:08:35.801050Z,17
Fujairah,20002,L,42600,70,2026-05-08T20:35:14.870980Z,2026-05-15T18:52:21.658129Z,28
Fujairah,19000,L,39000,22,2026-05-08T20:35:14.870980Z,2026-05-15T18:36:04.010446Z,11
Fujairah,2333,I,37800,70,2026-05-08T20:35:14.870980Z,2026-05-15T19:51:48.329839Z,42
Fujairah,2200,L,37600,23,2026-05-08T20:35:14.870980Z,2026-05-15T18:41:28.196935Z,11
Fujairah,98000,R,37000,25,2026-05-08T20:35:14.870980Z,2026-05-15T18:57:46.196732Z,19
Fujairah,55550,J,36400,31,2026-05-08T20:35:14.870980Z,2026-05-15T18:46:56.719510Z,22
Fujairah,7077,H,36000,63,2026-05-08T20:35:14.870980Z,2026-05-15T18:30:29.942226Z,25
Fujairah,22221,L,36000,23,2026-05-08T20:35:14.870980Z,2026-05-15T18:30:29.942226Z,17
Fujairah,3030,L,35200,31,2026-05-08T20:35:14.870980Z,2026-05-15T19:24:46.993629Z,14
Fujairah,71111,L,34400,35,2026-05-08T20:35:14.870980Z,2026-05-15T18:14:06.316001Z,16
Fujairah,1500,L,33900,43,2026-05-08T20:35:14.870980Z,2026-05-15T17:46:44.956805Z,21
Fujairah,8880,L,33900,24,2026-05-08T20:35:14.870980Z,2026-05-15T18:08:42.382122Z,13
Fujairah,2221,L,33600,43,2026-05-08T20:35:14.870980Z,2026-05-15T18:36:04.010446Z,23
Fujairah,9889,M,33200,63,2026-05-08T20:35:14.870980Z,2026-05-15T21:03:26.255127Z,31
Fujairah,5544,M,33000,58,2026-05-08T20:35:14.870980Z,2026-05-15T20:02:43.244616Z,33
Fujairah,44445,S,33000,68,2026-05-08T20:35:14.870980Z,2026-05-15T18:14:06.316001Z,36
Fujairah,2010,H,31700,112,2026-05-08T20:35:14.870980Z,2026-05-15T19:03:12.047855Z,48
Fujairah,1919,L,31600,10,2026-05-08T20:35:14.870980Z,2026-05-15T18:14:06.316001Z,6
Fujairah,1666,R,31400,32,2026-05-08T20:35:14.870980Z,2026-05-15T18:14:06.316001Z,14
Fujairah,6669,J,31400,34,2026-05-08T20:35:14.870980Z,2026-05-15T18:46:56.719510Z,21
Fujairah,1221,L,31000,60,2026-05-08T20:35:14.870980Z,2026-05-15T18:41:28.196935Z,29
Fujairah,33033,R,30000,24,2026-05-08T20:35:14.870980Z,2026-05-15T19:13:59.665310Z,11
Fujairah,80808,L,29800,52,2026-05-08T20:35:14.870980Z,2026-05-15T20:19:06.103127Z,26
Fujairah,69696,L,25400,24,2026-05-08T20:35:14.870980Z,2026-05-15T19:13:59.665310Z,10
Fujairah,70070,J,24800,54,2026-05-08T20:35:14.870980Z,2026-05-15T19:35:37.006488Z,26
Fujairah,11181,H,24500,33,2026-05-08T20:35:14.870980Z,2026-05-15T18:14:06.316001Z,16
Fujairah,7100,R,23700,12,2026-05-08T20:35:14.870980Z,2026-05-15T18:30:29.942226Z,10
Fujairah,11001,L,20600,77,2026-05-08T20:35:14.870980Z,2026-05-15T18:19:35.909719Z,42
Fujairah,1985,J,20300,33,2026-05-08T20:35:14.870980Z,2026-05-15T18:30:29.942226Z,16
Fujairah,43210,H,17100,66,2026-05-08T20:35:14.870980Z,2026-05-15T17:46:44.956805Z,21
