emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Ras Al Khaimah,66,X,712000,12,2026-06-05T20:05:13.062862Z,2026-06-12T18:20:53.503494Z,8
Ras Al Khaimah,29,Z,700000,0,2026-06-05T20:05:13.062862Z,2026-06-12T18:37:16.428570Z,0
Ras Al Khaimah,88888,N,332500,71,2026-06-05T20:05:13.062862Z,2026-06-12T21:00:56.332196Z,28
Ras Al Khaimah,300,X,300000,0,2026-06-05T20:05:13.062862Z,2026-06-12T18:20:53.503494Z,0
Ras Al Khaimah,177,Z,157000,1,2026-06-05T20:05:13.062862Z,2026-06-12T17:47:49.130789Z,1
Ras Al Khaimah,5000,Y,151500,61,2026-06-05T20:05:13.062862Z,2026-06-12T17:47:49.130789Z,11
Ras Al Khaimah,808,D,150000,0,2026-06-05T20:05:13.062862Z,2026-06-12T18:31:48.350591Z,0
Ras Al Khaimah,70000,D,140100,3,2026-06-05T20:05:13.062862Z,2026-06-12T17:53:16.388386Z,2
Ras Al Khaimah,180,X,138500,14,2026-06-05T20:05:13.062862Z,2026-06-12T18:42:40.609773Z,8
Ras Al Khaimah,220,D,131000,0,2026-06-05T20:05:13.062862Z,2026-06-12T18:04:13.942899Z,0
Ras Al Khaimah,989,I,121500,12,2026-06-05T20:05:13.062862Z,2026-06-12T18:58:59.554580Z,7
Ras Al Khaimah,234,Y,118500,52,2026-06-05T20:05:13.062862Z,2026-06-12T19:15:50.044493Z,26
Ras Al Khaimah,510,V,116000,1,2026-06-05T20:05:13.062862Z,2026-06-12T18:31:48.350591Z,1
Ras Al Khaimah,788,Z,116000,1,2026-06-05T20:05:13.062862Z,2026-06-12T17:42:19.439724Z,1
Ras Al Khaimah,55000,X,102300,72,2026-06-05T20:05:13.062862Z,2026-06-12T18:42:40.609773Z,19
Ras Al Khaimah,333,1,101000,113,2026-06-05T20:05:13.062862Z,2026-06-12T20:33:10.604969Z,39
Ras Al Khaimah,7070,X,86800,212,2026-06-05T20:05:13.062862Z,2026-06-12T18:15:22.710596Z,15
Ras Al Khaimah,666,0,65500,52,2026-06-05T20:05:13.062862Z,2026-06-12T18:15:22.710596Z,23
Ras Al Khaimah,9009,D,56600,27,2026-06-05T20:05:13.062862Z,2026-06-12T18:04:13.942899Z,12
Ras Al Khaimah,8800,S,50000,0,2026-06-05T20:05:13.062862Z,2026-06-12T18:31:48.350591Z,0
Ras Al Khaimah,12111,X,50000,58,2026-06-05T20:05:13.062862Z,2026-06-12T19:21:16.306700Z,24
Ras Al Khaimah,1992,Z,46500,0,2026-06-05T20:05:13.062862Z,2026-06-12T18:15:22.710596Z,0
Ras Al Khaimah,6669,X,45300,64,2026-06-05T20:05:13.062862Z,2026-06-12T19:07:07.729312Z,26
Ras Al Khaimah,101,1,42500,65,2026-06-05T20:05:13.062862Z,2026-06-12T20:02:10.166294Z,33
Ras Al Khaimah,2000,1,41000,60,2026-06-05T20:05:13.062862Z,2026-06-12T20:10:40.274993Z,32
Ras Al Khaimah,87000,Z,40700,55,2026-06-05T20:05:13.062862Z,2026-06-12T18:20:53.503494Z,16
Ras Al Khaimah,2001,Z,40000,34,2026-06-05T20:05:13.062862Z,2026-06-12T17:58:44.370442Z,7
Ras Al Khaimah,20222,I,38500,0,2026-06-05T20:05:13.062862Z,2026-06-12T18:26:19.319566Z,0
Ras Al Khaimah,99998,I,38500,0,2026-06-05T20:05:13.062862Z,2026-06-12T18:20:53.503494Z,0
Ras Al Khaimah,78888,I,35400,22,2026-06-05T20:05:13.062862Z,2026-06-12T18:04:13.942899Z,8
Ras Al Khaimah,23333,I,33400,12,2026-06-05T20:05:13.062862Z,2026-06-12T17:42:19.439724Z,3
Ras Al Khaimah,4141,S,32600,8,2026-06-05T20:05:13.062862Z,2026-06-12T17:20:37.851458Z,5
Ras Al Khaimah,5055,D,32300,32,2026-06-05T20:05:13.062862Z,2026-06-12T18:58:59.554580Z,15
Ras Al Khaimah,7800,Z,31200,1,2026-06-05T20:05:13.062862Z,2026-06-12T18:26:19.319566Z,1
Ras Al Khaimah,3222,I,29700,1,2026-06-05T20:05:13.062862Z,2026-06-12T18:09:43.143248Z,1
Ras Al Khaimah,3000,0,29000,37,2026-06-05T20:05:13.062862Z,2026-06-12T18:42:40.609773Z,16
Ras Al Khaimah,44404,S,25500,0,2026-06-05T20:05:13.062862Z,2026-06-12T18:15:22.710596Z,0
Ras Al Khaimah,1986,Z,21500,12,2026-06-05T20:05:13.062862Z,2026-06-12T17:31:27.913560Z,10
Ras Al Khaimah,4800,0,20400,72,2026-06-05T20:05:13.062862Z,2026-06-12T19:04:29.119893Z,20
Ras Al Khaimah,60060,Z,19500,4,2026-06-05T20:05:13.062862Z,2026-06-12T18:04:13.942899Z,4
