emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Sharjah,300000,3,2500000,97,2026-07-11T10:16:35.453698Z,2026-07-17T19:35:20.696717Z,44
Sharjah,22,4,2410000,130,2026-07-11T10:16:35.453698Z,2026-07-17T21:40:53.893972Z,62
Sharjah,50,4,1772000,31,2026-07-11T10:16:35.453698Z,2026-07-17T18:09:13.117006Z,16
Sharjah,73,3,1590000,103,2026-07-11T10:16:35.453698Z,2026-07-17T21:29:59.891635Z,40
Sharjah,333,4,1501000,247,2026-07-11T10:16:35.453698Z,2026-07-17T20:15:38.363321Z,43
Sharjah,88888,4,1006000,209,2026-07-11T10:16:35.453698Z,2026-07-17T20:48:17.373946Z,57
Sharjah,200,4,623000,80,2026-07-11T10:16:35.453698Z,2026-07-17T18:53:03.374344Z,26
Sharjah,5555,4,600000,37,2026-07-11T10:16:35.453698Z,2026-07-17T18:58:33.999365Z,13
Sharjah,70000,4,460000,64,2026-07-11T10:16:35.453698Z,2026-07-17T20:04:41.393409Z,22
Sharjah,606,4,444000,65,2026-07-11T10:16:35.453698Z,2026-07-17T20:02:33.957447Z,24
Sharjah,880,4,436000,117,2026-07-11T10:16:35.453698Z,2026-07-17T21:24:31.691249Z,44
Sharjah,190,4,433000,79,2026-07-11T10:16:35.453698Z,2026-07-17T21:15:25.679887Z,48
Sharjah,244,4,417000,82,2026-07-11T10:16:35.453698Z,2026-07-17T21:08:11.010575Z,46
Sharjah,515,4,417000,81,2026-07-11T10:16:35.453698Z,2026-07-17T20:21:04.505493Z,40
Sharjah,114,4,415000,59,2026-07-11T10:16:35.453698Z,2026-07-17T18:47:31.665113Z,24
Sharjah,345,4,405000,48,2026-07-11T10:16:35.453698Z,2026-07-17T20:21:04.505493Z,29
Sharjah,410,4,402000,101,2026-07-11T10:16:35.453698Z,2026-07-17T21:14:16.802670Z,53
Sharjah,9000,4,385000,44,2026-07-11T10:16:35.453698Z,2026-07-17T20:24:23.733146Z,21
Sharjah,991,4,375000,55,2026-07-11T10:16:35.453698Z,2026-07-17T20:07:59.713809Z,30
Sharjah,504,3,374000,55,2026-07-11T10:16:35.453698Z,2026-07-17T21:02:44.864772Z,39
Sharjah,1234,4,294500,198,2026-07-11T10:16:35.453698Z,2026-07-17T21:57:50.552747Z,65
Sharjah,77,1,220000,14,2026-07-11T10:16:35.453698Z,2026-07-17T18:47:31.665113Z,9
Sharjah,11000,4,210500,185,2026-07-11T10:16:35.453698Z,2026-07-17T18:14:39.397072Z,24
Sharjah,1001,4,178000,124,2026-07-11T10:16:35.453698Z,2026-07-17T19:09:32.714588Z,31
Sharjah,11111,1,153000,128,2026-07-11T10:16:35.453698Z,2026-07-17T18:58:33.999365Z,38
Sharjah,24000,4,130000,138,2026-07-11T10:16:35.453698Z,2026-07-17T19:31:18.244406Z,40
Sharjah,4440,4,126000,71,2026-07-11T10:16:35.453698Z,2026-07-17T18:41:59.995329Z,31
Sharjah,71000,4,121000,98,2026-07-11T10:16:35.453698Z,2026-07-17T20:57:14.839530Z,46
