emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Umm Al Quwain,19,K,679000,136,2025-12-27T07:21:26.382646Z,2026-01-09T19:08:24.873691Z,68
Umm Al Quwain,80,N,606000,63,2025-12-27T07:21:26.382646Z,2026-01-09T19:09:10.687379Z,40
Umm Al Quwain,786,N,501000,180,2025-12-27T07:21:26.382646Z,2026-01-09T18:24:56.185979Z,59
Umm Al Quwain,888,K,431000,67,2025-12-27T07:21:26.382646Z,2026-01-09T19:51:44.608608Z,34
Umm Al Quwain,120,N,202000,85,2025-12-27T07:21:26.382646Z,2026-01-09T18:57:30.715530Z,43
Umm Al Quwain,900,K,200000,44,2025-12-27T07:21:26.382646Z,2026-01-09T18:08:42.661596Z,23
Umm Al Quwain,202,N,183500,67,2025-12-27T07:21:26.382646Z,2026-01-09T18:36:41.710159Z,30
Umm Al Quwain,177,L,159500,97,2025-12-27T07:21:26.382646Z,2026-01-09T19:43:28.678248Z,52
Umm Al Quwain,5000,N,141000,64,2025-12-27T07:21:26.382646Z,2026-01-09T19:51:44.608608Z,33
Umm Al Quwain,849,F,130500,14,2025-12-27T07:21:26.382646Z,2026-01-09T17:41:39.031984Z,6
Umm Al Quwain,456,J,123500,67,2025-12-27T07:21:26.382646Z,2026-01-09T18:14:03.290928Z,35
Umm Al Quwain,660,N,121000,39,2025-12-27T07:21:26.382646Z,2026-01-09T18:08:42.661596Z,15
Umm Al Quwain,60000,J,113000,40,2025-12-27T07:21:26.382646Z,2026-01-09T17:47:04.027897Z,23
Umm Al Quwain,1234,N,95000,159,2025-12-27T07:21:26.382646Z,2026-01-09T18:15:29.968573Z,47
Umm Al Quwain,11000,M,93200,176,2025-12-27T07:21:26.382646Z,2026-01-09T19:40:51.236345Z,56
Umm Al Quwain,18,B,89500,127,2025-12-27T07:21:26.382646Z,2026-01-16T17:13:37.754651Z,97
Umm Al Quwain,1999,K,78200,148,2025-12-27T07:21:26.382646Z,2026-01-09T19:04:06.810614Z,51
Umm Al Quwain,88880,N,71200,74,2025-12-27T07:21:26.382646Z,2026-01-09T18:20:51.768585Z,40
Umm Al Quwain,9090,N,65000,78,2025-12-27T07:21:26.382646Z,2026-01-09T19:30:53.322169Z,37
Umm Al Quwain,2002,N,62000,96,2025-12-27T07:21:26.382646Z,2026-01-09T17:36:15.488066Z,36
Umm Al Quwain,9111,N,51000,124,2025-12-27T07:21:26.382646Z,2026-01-09T17:25:23.296889Z,35
Umm Al Quwain,51000,K,50200,148,2025-12-27T07:21:26.382646Z,2026-01-09T19:35:23.974164Z,56
Umm Al Quwain,6660,L,47000,75,2025-12-27T07:21:26.382646Z,2026-01-09T18:52:57.471347Z,40
Umm Al Quwain,11112,N,45800,36,2025-12-27T07:21:26.382646Z,2026-01-09T17:57:54.561428Z,18
Umm Al Quwain,71111,M,42800,91,2025-12-27T07:21:26.382646Z,2026-01-09T17:52:29.129477Z,35
Umm Al Quwain,90999,I,35200,82,2025-12-27T07:21:26.382646Z,2026-01-09T18:35:50.253410Z,45
Umm Al Quwain,99911,X,35200,134,2025-12-27T07:21:26.382646Z,2026-01-09T19:58:07.531363Z,68
Umm Al Quwain,77700,F,35000,37,2025-12-27T07:21:26.382646Z,2026-01-09T18:30:20.174784Z,25
Umm Al Quwain,700,B,32400,100,2025-12-27T07:21:26.382646Z,2026-01-09T19:27:12.738995Z,38
Umm Al Quwain,50005,N,32400,55,2025-12-27T07:21:26.382646Z,2026-01-09T18:03:19.908443Z,40
Umm Al Quwain,60600,M,32000,110,2025-12-27T07:21:26.382646Z,2026-01-09T18:42:06.901356Z,57
Umm Al Quwain,11222,M,30800,63,2025-12-27T07:21:26.382646Z,2026-01-09T18:46:40.395587Z,46
Umm Al Quwain,1989,M,30200,64,2025-12-27T07:21:26.382646Z,2026-01-09T18:14:03.290928Z,35
Umm Al Quwain,7711,M,29200,45,2025-12-27T07:21:26.382646Z,2026-01-09T18:10:04.585004Z,31
Umm Al Quwain,1020,M,28400,51,2025-12-27T07:21:26.382646Z,2026-01-09T18:46:40.395587Z,34
Umm Al Quwain,1700,J,28400,60,2025-12-27T07:21:26.382646Z,2026-01-09T17:53:51.392930Z,34
Umm Al Quwain,8989,M,27400,50,2025-12-27T07:21:26.382646Z,2026-01-09T18:35:50.253410Z,39
Umm Al Quwain,6900,M,26400,31,2025-12-27T07:21:26.382646Z,2026-01-09T17:26:41.014295Z,18
Umm Al Quwain,321,B,20200,48,2025-12-27T07:21:26.382646Z,2026-01-09T18:52:04.438989Z,28
Umm Al Quwain,4040,B,7400,21,2025-12-27T07:21:26.382646Z,2026-01-09T18:35:50.253410Z,13
