emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Ajman,1081,K,17900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,2340,H,16900,2025-12-23T20:41:12.489763Z,2025-12-23T20:41:23.619652Z,sold,2026-01-14T19:00:52.294889Z
Ajman,6760,H,16400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,3530,K,15900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,2343,K,15900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,3231,H,15900,2025-12-23T20:41:12.489763Z,2026-01-14T19:00:52.294889Z,sold,2026-01-17T06:30:27.662829Z
Ajman,6076,H,15400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,8870,K,15400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,1889,H,15400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,6564,K,15400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,6506,H,15400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,5506,H,14900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,22201,H,14900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,6055,K,14900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,3441,H,14900,2025-12-23T20:41:12.489763Z,2025-12-23T20:41:23.619652Z,sold,2026-01-14T19:00:52.294889Z
Ajman,9877,K,14900,2025-12-23T20:41:12.489763Z,2025-12-23T20:41:23.619652Z,sold,2026-01-14T19:00:52.294889Z
Ajman,3455,H,14900,2025-12-23T20:41:12.489763Z,2026-01-14T19:00:52.294889Z,sold,2026-01-17T06:30:27.662829Z
Ajman,1143,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,8033,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,8330,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,3380,K,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,7076,K,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,9808,K,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,8867,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,7765,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,2082,K,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,7567,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,6156,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,4515,K,14400,2025-12-23T20:41:12.489763Z,2025-12-23T20:41:23.619652Z,sold,2026-01-14T19:00:52.294889Z
Ajman,4311,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,1766,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,5503,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,3556,H,14400,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,11180,H,13900,2025-12-23T20:41:12.489763Z,2025-12-23T20:41:23.619652Z,sold,2026-01-14T19:00:52.294889Z
Ajman,66609,H,13900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,7909,K,13900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,39339,K,13900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
Ajman,43443,H,13900,2025-12-23T20:41:12.489763Z,2026-01-25T06:31:39.439537Z,available,
