emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Fujairah,1810,E,18900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,9190,J,18400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,1017,C,17900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,1091,C,17900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,1770,J,17900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,1170,D,17400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,1615,K,17400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,1606,J,17400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,1077,J,17400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,1176,C,16900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,6099,C,16900,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,2203,C,16400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,4450,C,16400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,1323,D,16400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,4104,G,16400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,6670,S,16400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,2330,I,16400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,3202,I,16400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,5011,I,16400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,8380,I,16400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,3110,K,16400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,1788,H,16400,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,8098,B,15900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,5434,C,15900,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,4505,D,15900,2025-12-23T20:41:25.377374Z,2026-01-14T19:00:54.682283Z,sold,2026-01-17T06:30:31.755877Z
Fujairah,5435,E,15900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,6067,M,15900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,5453,R,15900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,8089,I,15900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,8908,H,15900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,7881,D,15400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,5065,E,15400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,7556,G,14900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,99119,M,14900,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,2235,S,14900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,23223,S,14900,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
Fujairah,1238,K,14900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,56655,M,14400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,77887,R,14400,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,65565,E,13900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,34034,E,12900,2025-12-23T20:41:25.377374Z,2026-01-17T06:30:31.755877Z,available,
Fujairah,45666,E,12900,2025-12-23T20:41:25.377374Z,2025-12-23T20:41:25.377374Z,sold,2026-01-14T19:00:54.682283Z
