emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Ras Al Khaimah,3301,Z,20400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,1106,Z,20400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,83383,X,20000,2025-12-23T20:41:24.173048Z,2026-02-21T06:41:05.058807Z,sold,2026-02-25T07:01:53.093647Z
Ras Al Khaimah,8180,Y,19900,2025-12-23T20:41:24.173048Z,2026-01-17T06:30:29.141511Z,sold,2026-01-21T06:36:19.660785Z
Ras Al Khaimah,1061,V,19900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,1801,Z,19900,2026-03-09T07:01:37.555148Z,2026-03-17T07:03:41.465620Z,sold,2026-03-21T06:42:34.703146Z
Ras Al Khaimah,7170,I,19400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,1017,Z,19400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,1910,Y,19400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,8180,Z,19400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,39339,I,19000,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,67667,C,19000,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,33993,S,19000,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,9089,Z,18900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,6076,S,18900,2026-03-09T07:01:37.555148Z,2026-05-17T08:20:24.322378Z,sold,2026-05-21T09:38:54.612686Z
Ras Al Khaimah,7870,Y,18900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,1901,Z,18900,2026-06-21T09:49:07.356628Z,2026-06-21T09:49:07.356628Z,sold,2026-06-25T09:20:04.682904Z
Ras Al Khaimah,3031,Z,18900,2026-06-21T09:49:07.356628Z,2026-06-25T09:20:04.682904Z,sold,2026-06-29T10:57:40.217460Z
Ras Al Khaimah,1237,Z,18900,2026-06-21T09:49:07.356628Z,2026-07-05T08:51:00.960086Z,sold,2026-07-09T09:37:13.410439Z
Ras Al Khaimah,1501,Z,18900,2026-07-17T08:08:08.457549Z,2026-07-17T08:08:08.457549Z,sold,2026-07-21T08:26:36.002074Z
Ras Al Khaimah,9809,S,18400,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,7869,D,18400,2026-03-09T07:01:37.555148Z,2026-03-17T07:03:41.465620Z,sold,2026-03-21T06:42:34.703146Z
Ras Al Khaimah,11176,V,18400,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,7017,D,18400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,2340,Y,18400,2026-06-21T09:49:07.356628Z,2026-07-05T08:51:00.960086Z,sold,2026-07-09T09:37:13.410439Z
Ras Al Khaimah,1180,Z,18400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,2321,Z,18400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,1033,X,18400,2026-06-21T09:49:07.356628Z,2026-06-21T09:49:07.356628Z,sold,2026-06-25T09:20:04.682904Z
Ras Al Khaimah,1044,X,18400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,3023,K,17900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,3310,K,17900,2025-12-23T20:41:24.173048Z,2026-02-09T07:03:54.809176Z,sold,2026-02-13T06:59:25.296667Z
Ras Al Khaimah,3032,X,17900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,6321,M,17900,2026-06-21T09:49:07.356628Z,2026-07-05T08:51:00.960086Z,sold,2026-07-09T09:37:13.410439Z
Ras Al Khaimah,1312,Z,17900,2026-06-21T09:49:07.356628Z,2026-06-25T09:20:04.682904Z,sold,2026-06-29T10:57:40.217460Z
Ras Al Khaimah,5851,S,17400,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,1217,I,17400,2025-12-23T20:41:24.173048Z,2026-01-17T06:30:29.141511Z,sold,2026-01-21T06:36:19.660785Z
Ras Al Khaimah,1778,V,17400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,9906,Z,17400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
