emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Umm Al Quwain,2120,I,19400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,5122,L,19400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,1202,I,18900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,1017,L,18400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,9190,M,18400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,8789,M,17400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,3220,I,16900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,5056,M,16900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,1778,X,16900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,11881,E,16400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,3101,K,16400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,22332,D,15900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,1127,E,15900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,78877,E,15900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,3022,I,15900,2025-12-23T20:41:24.648997Z,2025-12-23T20:41:24.648997Z,sold,2026-01-14T19:00:53.675517Z
Umm Al Quwain,3203,J,15900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,5560,L,15900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,1898,X,15900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,2203,K,15400,2025-12-23T20:41:24.648997Z,2025-12-23T20:41:24.648997Z,sold,2026-01-14T19:00:53.675517Z
Umm Al Quwain,7087,K,15400,2025-12-23T20:41:24.648997Z,2025-12-23T20:41:24.648997Z,sold,2026-01-14T19:00:53.675517Z
Umm Al Quwain,6096,X,15400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,6605,X,15400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,8211,X,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,11150,N,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,4049,N,14900,2025-12-23T20:41:24.648997Z,2026-01-14T19:00:53.675517Z,sold,2026-01-17T06:30:30.447782Z
Umm Al Quwain,2363,B,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,9707,D,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,11109,E,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,8033,F,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,8994,K,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,10777,L,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,8928,M,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,9982,M,14900,2025-12-23T20:41:24.648997Z,2026-01-14T19:00:53.675517Z,sold,2026-01-17T06:30:30.447782Z
Umm Al Quwain,6680,X,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,8441,X,14900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,6220,B,14400,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,88807,N,13900,2025-12-23T20:41:24.648997Z,2026-01-14T19:00:53.675517Z,sold,2026-01-17T06:30:30.447782Z
Umm Al Quwain,50060,B,13900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,89111,I,13900,2025-12-23T20:41:24.648997Z,2026-01-21T06:36:20.673975Z,available,
Umm Al Quwain,11515,X,13900,2025-12-23T20:41:24.648997Z,2025-12-23T20:41:24.648997Z,sold,2026-01-14T19:00:53.675517Z
Umm Al Quwain,80555,X,13900,2025-12-23T20:41:24.648997Z,2025-12-23T20:41:24.648997Z,sold,2026-01-14T19:00:53.675517Z
